overall_rates,status,title,date,position,location,pros,cons
4,Former Employee,Pros & Cons,12-Sep-21, Sales Assistant,"Westfield, Scotland",20% discount in Inditex stores,Not enough training was provided
2,"Current Employee, more than 1 year",BAD WORKPLACE,17-Aug-21, Sales Associate,"London, England",the discount you get on certain items including sale and the location,the workplace environment was managed by people who were not suitable or organised
5,"Current Employee, less than 1 year",Great,12-Sep-21, Customer Service Associate ,None,Discount on clothes good pay,No free weekends zero flexibility
5,"Current Employee, less than 1 year",Great Job,08-Sep-21, Sales Associate,"London, England",friendly staff and good hours,not the greatest benefits for employees
1,Current Employee,Bad environment,11-Nov-21, Anonymous Employee ,None,"Discount, clothes, friends, discount, nothing else","Poor management, they are so young"
3,Current Employee,Exhausting,24-Aug-21, Cashier ,None,The colleagues that I worked with,Very hard to get annual leave approved Customers treat u like garbage
2,"Former Employee, less than 1 year",Sale Assistance - Zara,21-Jul-21, Sales Assistance,"London, England",you get to meet and make new friends,"they over work you, you barely get any break."
4,"Former Employee, more than 1 year",help customer,10-Sep-21, Sales Associate,"London, England",very nice place to work,sometimes can be too busy
1,"Current Employee, less than 1 year",Toxic environment,30-Oct-21, Sales Assistant,"London, England",Good pay for average ages,"Workers only speak in Portuguese, managers act closer with their own people"
5,Former Employee,experience,30-Aug-21, Sales Assistant,"Manchester, England",Everything was ok i liked the team,no cons the job was great
2,"Former Employee, less than 1 year",okay,31-Aug-21, Sales Associate/Cashier,"London, England",experience is good for cv,rude bad customers mean managers its not the best place
2,Former Employee,"Managers are horrible, long hours with very little breaks",18-Jun-21, Retail Sales Assistant ,None,Good pay Staff discount across all affiliated stores,"20 minute break on shifts “under 8 hours” however when working a 6 hour shift with overtime, you still only get a 20 minute break. I often worked 411:30/12 with only a 20 minute break."
5,"Current Employee, less than 1 year",Good place for a student,12-Jul-21, Retail Sales Associate,"Birmingham, England", Could manage to take shifts alongside my studies  Diverse work environment  Fast phased work environment never boring.," Can be negative customers, like in every retail place"
3,Current Employee,It's okay,12-Aug-21, Retail Sales Assistant,"Leeds, England","Staff is nice, is hard work but easy",Definitely the long hours and the lack of flexbility
3,"Former Employee, less than 1 year",Short staffed,23-Aug-21, Sales Assistant,"Nottingham, England",25 percent off Discount card,Consistently short staffed despite customer complaint
3,"Current Employee, more than 3 years",Demanding work environment but definitely a lot to learn,02-Jun-21, Sales Assistant,"Birmingham, England","You can develop good resilience, the ability to multitask, adapting to a fast work environment and excellent customer service","Very demanding environment, lack of job demands and control, horrible in a period of sales, difficult schedule in terms of time off, weekends etc."
4,Current Employee,Ambitious job,22-Aug-21, Sales Assistant,"London, England","Good pay, easy to grow",Hard work and long hours
3,"Former Employee, less than 1 year",Interesting experience,20-Aug-21, Sales Assistant ,None,Good pay and possible progression,"overload of work, constantly working understaff"
2,"Former Employee, less than 1 year",Not good work ethic,26-Jun-21, Sales Associate,"London, England",Very fast paced if that’s what you’re after,Always doing overtime and finishing very late and management don’t know how to manage the team. Everybody appears to be constantly stressed and unhappy including management.
3,"Former Employee, more than 1 year",Ok,05-Jul-21, Cashier,"Canterbury, England",Discount on clothes was a positive,Awful management Training lacks Lack of staff for the amount of work expected to be carried out
3,Former Employee,not bad but could be better,26-May-21, Sales Assistant,"London, England","I worked in mens wear department so the management team was very friendly and helpful. Nice colleagues, used to go out together","However, very busy on weekends and sometimes there used to be lack of employees and management The company did not want to pay for overtime"
3,"Current Employee, less than 1 year",Working at Zara,03-Aug-21, Sales Assistant,"Manchester, England",Good experience to practice English,Work hard and low salary
1,"Former Employee, more than 1 year",Would never work here again,15-Jun-21, Commercial,"London, England","Money was good, head office team were really nice, interview seemed promising","Bullies, gave disciplinary for sicknesses, harassed all day with phone calls after calling sick, bad attitudes from management, lack of training, overworked staff, absolutely no customer service, certain members of staff made to stay late while others were allowed to leave, bad hours"
3,Current Employee,Demanding,12-Aug-21, Operation Regional Manager,"Manchester, England",Great salary and good benefits,"Extremely demanding, unrealistic expectations, poor worklife balance"
4,"Former Employee, less than 1 year",Okay,27-Jul-21, Sales Assistant,"Leicester, England",Enjoyed working there had a good team of people,Have too many shifts 10 days in a row
1,"Current Employee, more than 3 years",bad,12-Oct-21, Sales Associate,"London, England",nothing good to say it is a nightmare,long hours and very stressful.
3,Current Employee,Pros and cons,24-Jul-21, Operations Manager,"London, England",Alot of different Experience and areas that position is covering,Too much responsibilities for the amount of money
5,Current Employee,Good,10-Aug-21, Retail Sales Associate,"Glasgow, Scotland",Good pay and nice managers.,Not a very busy place
4,Current Employee,good,11-Aug-21, Retail Sales Associate,"Bristol, England",good staff and good management,the work hours are long
1,"Current Employee, more than 3 years",Bad,24-Sep-21, Sales Assistant,"Manchester, England",Pay is good and christmas card,Management is terrible worst management
5,"Former Employee, less than 1 year",Very nice place to work as a student!,06-Jul-21, Sales Assistant,"Birmingham, England","Twenty Six hours contract, which can mean 4 days of work",Can be very busy during the weekends
4,Current Employee,Work hard,24-Jul-21, Sales Associate ,None,A lot of fashion experience,Over worked and underpaid with a lot of pressure
5,Former Employee,Great,22-Jul-21, Sales Assistant,"London, England",It is a faced paced working environment,Sometimes too busy at Christmas and summer
4,"Former Employee, less than 1 year","Friendly management, complicated costumers",22-Jun-21, Costumer Service,"Kingston upon Thames, England",employers discount good coworkers shifts go by really fast,management not very supportive costumers can be very rude and impatient
1,Former Employee,n/a,19-Sep-21, Sales Assistant,"London, England",In store discount Flexible hours,Everything else not mentioned above
4,"Current Employee, less than 1 year",zara,20-Jul-21, Sales Assistant,"London, England",very good pay for young people,lack of organisation and poor internal communication
3,Current Employee,Good but stressful,16-May-21, Retail Sales Assistant,"Newcastle upon Tyne, England","Good company as a whole, recognisable, 25% discount and some great people working there.",Hugely understaffed and really stressful. Management offered to those who've spent a long time at the company opposed to actual merit and little room for progression opportunities.
